1,C,Which of the statements below is NOT true of HTTP requests?
1,A,What is wrong with the HTTP request below?   GET /index.html HTTP/1.1 User-Agent: Mozilla/4.0  Host: www.mycompany.com Content-Type: image/jpeg
1,A,You make a request in JavaScript for customer data from a RESTful web service. Which one of the following headers would you include with the request?
1,D,Which of the following is NOT an HTTP request type?
1,D,How can you tell when a server error has occured in response to an HTTP request?
1,A,Which HTTP request type is executed when a user clicks on an anchor tag on a web page?
1,B,Which one of the items below is not required as part of a standard HTTP GET request?
2,B,You are sending an HTTP request to a web service. The web service requires you to pass a name as a query parameter on the URL. Which of the following URLs displays the correct format?
2,E,When making an HTTP request you pass the parameter namepam on the URL. Which header is required?
2,D,You are making an HTTP request that uploads data to a web service. Which of the following would you NOT expect to use in the request
2,C,You are making an HTTP request that inserts or updates data on a web service. Which of the following request types could be used?
2,B,"When uploading data via an HTTP request, only data in human readable should be uploaded in the request body.  True or False?"
2,D,You are making an HTTP POST request that inserts or updates data on a secured web service. How would you send the credentials/auth-token?
2,B,Multiple parameters can be passed on the URL when making an HTTP request. True or False?
3,C,You want to retrieve a JSON formated list from a web service. Which header would you add to the HTTP request?
3,B,You make an HTTP request. You recieve a response status number between 400-499. What does this indicate about the request?
3,B,"Given the following HTTP response, what kind of data should you expect in the response body?   HTTP/1.1 200 OK Date: Mon, 27 Jan 2022 12:28:53 GMT Server: Apache/2.2.14 (Win32) Last-Modified: Wed, 22 Jul 2009 19:15:56 GMT Content-Length: 88 Content-Type: application/json Connection: Closed"
3,D,"Given the following HTTP response, what should you expect to see in the response body?    HTTP/1.1 200 OK Date: Mon, 27 Jan 2022 12:28:53 GMT| Server: Apache/2.2.14 (Win32) Last-Modified: Wed, 22 Jul 2009 19:15:56 GMT Content-Length: 19 Content-Type: application/json Connection: Closed"
3,A,Finish the statement. A single HTTP request can return ...?
3,B,You make an HTTP request. The response comes back with a status in the range 300-399. What do you do next?
3,B,The web service you plan to use can return data in either XML or JSON format. How do you let the server know that you would like the response to be in JSON format?
4,B,Which one of the following is NOT a JavaScript data type?
4,D,What output should you expect from the following code?   var x  &#39;25&#39;; typeof x
4,E,"Given the following code, which one of the answers below returns false?   var a  new Date(); var b  {&quot;name&quot;:&quot;steve&quot;}; var c  [1,2,3]; var d  &quot;stuff&quot;;"
4,C,Which one of the following is NOT a native JavaScript object type?
4,B,"Given the following JavaScript code, what will be displayed in the console after it runs?   let a  new Array(); console.log( typeof a);"
4,B,"Given the following JavaScript code, what will be displayed in the console?   01  let a  3; 02  let b  &quot;5&quot;; 03  let result  a * b; 04  console.log( result );"
4,C,"Given the following JavaScript code, what will be displayed in the console?   01  let a  0 02  let b  1 03  let c  (a || b)?&#39;TRUE&#39;:&#39;FALSE&#39;; 04  console.log(c);"
5,B,What would be the result of the following JavaScript code?   var x  12; var y  &quot;Main Street&quot;; console.log( x + y );
5,A,What would be the result of the following JavaScript code?   var x  12; var y  &quot;24&quot;; console.log( x + y );
5,C,What would be the result of the following JavaScript code?   var x  2; var y  3; var z  5; console.log( (x * z + y)/z );
